name	product
ndhK	NADH-plastoquinone oxidoreductase subunit K
ndhL	NADH-plastoquinone oxidoreductase subunit L
ntcA	global nitrogen transcriptional regulator
odpA	pyruvate dehydrogenase E1 component A
odpB	pyruvate dehydrogenase E1 component B
ompR	regulatory component of sensory transduction system
pafI	photosystem I assembly factor I
pafII	photosystem I assembly factor II
pbf1	photosystem biogenesis factor 1
pbsA	heme oxygenase
petA	apocytochrome f precursor
petB	cytochrome b6
petD	cytochrome b6-f complex subunit 4
petF	ferredoxin
petG	cytochrome b6-f complex subunit 5
petJ	cytochrome c553
petL	cytochrome b6-f complex subunit 6
petM	cytochrome b6-f complex subunit 7
petN	cytochrome b6-f complex subunit 8
petP	cytochrome b6-f complex subunit PetP
pgmA	phosphoglycerate mutase
preA	prenyl transferase
psaA	photosystem I P700 chlorophyll a apoprotein A1
psaB	photosystem I P700 chlorophyll a apoprotein A2
psaC	photosystem I iron-sulfur center
psaD	photosystem I subunit II
psaE	photosystem I subunit IV
psaF	photosystem I subunit III
psaI	photosystem I subunit VIII
psaJ	photosystem I subunit IX
psaK	photosystem I subunit X
psaL	photosystem I subunit XI
psaM	photosystem I subunit XII
psb30	Photosystem II reaction center protein Ycf12
psbA	photosystem II P680 reaction center D1 protein
psbB	photosystem II CP47 chlorophyll apoprotein
psbC	photosystem II CP43 chlorophyll apoprotein
psbD	photosystem II P680 reaction center D2 protein
psbE	photosystem II cytochrome b559 subunit alpha
psbF	photosystem II cytochrome b559 subunit beta
psbH	photosystem II PsbH protein
psbI	photosystem II PsbI protein
psbJ	photosystem II PsbJ protein
psbK	photosystem II PsbK protein
psbL	photosystem II PsbL protein
psbM	photosystem II PsbM protein
psbN	photosystem II PsbN protein
psbT	photosystem II PsbT protein
psbV	photosystem II cytochrome c550
psbW	photosystem II PsbW protein
psbX	photosystem II PsbX protein
psbY	photosystem II PsbY protein
psbZ	photosystem II PsbZ protein
rbcR	LysR transcriptional regulator
rbcS	ribulose-bisphosphate carboxylase small subunit
rne	ribonuclease E
rnz	ribonuclease Z
rpl1	50S ribosomal protein L1
rpl11	50S ribosomal protein L11
rpl12	50S ribosomal protein L12
rpl13	50S ribosomal protein L13
rpl14	50S ribosomal protein L14
rpl15	50S ribosomal protein L15
rpl16	50S ribosomal protein L16
rpl18	50S ribosomal protein L18
rpl19	50S ribosomal protein L19
rpl2	50S ribosomal protein L2
rpl20	50S ribosomal protein L20
rpl21	50S ribosomal protein L21
rpl22	50S ribosomal protein L22
rpl23	50S ribosomal protein L23
rpl24	50S ribosomal protein L24
rpl27	50S ribosomal protein L27
rpl28	50S ribosomal protein L28
rpl29	50S ribosomal protein L29
rpl3	50S ribosomal protein L3
rpl31	50S ribosomal protein L31
rpl32	50S ribosomal protein L32
rpl33	50S ribosomal protein L33
rpl34	50S ribosomal protein L34
rpl35	50S ribosomal protein L35
rpl36	50S ribosomal protein L36
rpl4	50S ribosomal protein L4
rpl5	50S ribosomal protein L5
rpl6	50S ribosomal protein L6
rpl9	50S ribosomal protein L9
rplB	50S ribosomal protein L2
rplE	50S ribosomal protein L5
rplF	50S ribosomal protein L6
rplI	50S ribosomal protein L9
rplL	50S ribosomal protein L7/L12
rplM	50S ribosomal protein L13
rplN	50S ribosomal protein L14
rplS	50S ribosomal protein L19
rplT	50S ribosomal protein L20
rplW	50S ribosomal protein L23
rplX	50S ribosomal protein L24
rpoA	RNA polymerase alpha subunit
rpoB	RNA polymerase beta subunit
rpoC1	RNA polymerase beta' subunit
rpoC2	RNA polymerase beta'' subunit
rpoZ	DNA-directed RNA polymerase omega subunit
rps1	30S ribosomal protein S1
rps10	30S ribosomal protein S10
rps11	30S ribosomal protein S11
rps12	30S ribosomal protein S12
rps13	30S ribosomal protein S13
rps14	30S ribosomal protein S14
rps15	30S ribosomal protein S15
rps16	30S ribosomal protein S16
rps17	30S ribosomal protein S17
rps18	30S ribosomal protein S18
rps19	30S ribosomal protein S19
rps2	30S ribosomal protein S2
rps20	30S ribosomal protein S20
rps3	30S ribosomal protein S3
rps4	30S ribosomal protein S4
rps5	30S ribosomal protein S5
rps6	30S ribosomal protein S6
rps7	30S ribosomal protein S7
rps8	30S ribosomal protein S8
rps9	30S ribosomal protein S9
rpsB	30S ribosomal protein S2
rpsC	30S ribosomal protein S3
rpsD	30S ribosomal protein S4
rpsE	30S ribosomal protein S5
rpsG	30S ribosomal protein S7
rpsH	30S ribosomal protein S8
rpsK	30S ribosomal protein S11
rpsL	30S ribosomal protein S12
rpsN	30S ribosomal protein S14
rpsR	30S ribosomal protein S18
rpsS	30S ribosomal protein S19
secA	preprotein translocase subunit SecA
secG	preprotein translocase subunit SecG
secY	preprotein translocase subunit SecY
sufB	cysteine desulfurase activator complex subunit SufB
sufC	iron-sulfur cluster formation ABC transporter ATP-binding subunit
syfB	phenylalanyl-tRNA synthetase B
syh	histidine-tRNA synthetase
tatC	Sec-independent protein translocase subunit TatC
tctD	transcriptional regulator TctD
thiG	thiamine biosynthesis protein G
thiS	thiamine biosynthesis protein S
trpA	tryptophan synthase subunit alpha
trpG	anthranilate synthase component II
trxA	thioredoxin
tsf	translation elongation factor Ts
tufA	translation elongation factor Tu
upp	uracil phosphoribosyltransferase
rbcL	ribulose-bisphosphate carboxylase large subunit
rrn4.5	4.5S ribosomal RNA
rrn5	5S ribosomal RNA
rrn16	16S ribosomal RNA
rrn23	23S ribosomal RNA
cysA	Sulfate/thiosulfate import ATP-binding protein
hup	DNA-binding protein HU-alpha
menA	1,4-dihydroxy 2-naphthoate octaprenyltransferase
menB	1,4-dihydroxy-2-naphthoyl-CoA synthase
menC	4-(2'-carboxyphenyl)-4-oxybutyric acid synthase
menD	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
menE	O-succinylbenzoic acid-coa ligase
menF	Menaquinone-specific isochorismate synthase
MlaE	ABC transporter permease
mntA	Manganese transport system membrane protein A
mntB	Manganese transport system membrane protein B
nad1	NADH-ubiquinone oxidoreductase chain 1
nad2	NADH-ubiquinone oxidoreductase chain 
nad5	NADH-ubiquinone oxidoreductase chain 
rrs	Putative LAGLIDADG DNA endonuclease
RT	RVT_N domain-containing protein
syfB	Phenylalanyl-tRNA synthetase beta subunit
mnmE	Probable tRNA modification GTPase MnmE
tic214	Protein TIC 214
tilS	tRNA(Ile)-lysidine synthase
trg1	Putative his-asp response regulator
YadH	Multidrug ABC transporter permease
ZnuB	ABC-3 protein
ycf1	Hypothetical protein
ycf2	Hypothetical protein
ycf3	Hypothetical protein
ycf4	Hypothetical protein
ycf15	Hypothetical protein
ycf68	Hypothetical protein
ycf66   Hypothetical protein
